"","mz","mzmax","mzmin","intensity"
"1",325.144388692614,325.138826233976,325.148560630268,243246368
"2",326.147902446394,326.14231421471,326.152093714412,55150912
"3",337.108531048597,337.102658765065,337.112935361943,57886260
"4",339.124062985916,339.11813795019,339.129988176926,104251432
"5",340.127575966388,340.121624610392,340.133527478588,23036300
"6",393.207839363782,393.200441839168,393.213387644243,37167216
"7",401.188851331666,401.181227436572,401.194569395605,61519696
"8",403.185830463786,403.178149565501,403.191591281543,20209012
"9",417.183862629007,417.175778287441,417.189926039399,38186840
"10",461.268860973615,461.259461905662,461.278260328858,734985344
"11",462.27373895644,462.264309154098,462.280811497553,245073008
"12",463.277361732929,463.267901206949,463.286822548706,44280068
"13",257.082009755445,257.07809901465,257.084942869604,63154968
"14",265.148404820141,265.144308587482,265.152501147725,22423698
"15",283.061386226837,283.056867950215,283.064775005299,82491584
"16",325.144493634018,325.138931174013,325.148665572698,535019488
"17",326.147998276016,326.142410042959,326.152189545064,118533200
"18",333.126096948058,333.120328415981,333.130423445447,24389726
"19",337.108652435113,337.102780150138,337.113056749542,164333168
"20",338.11205240458,338.106153880013,338.116476399302,36197664
"21",339.124224533879,339.118299496697,339.130149726345,278513376
"22",340.126282587411,340.120331269004,340.132234062023,62071688
"23",341.138794665677,341.128333369547,341.149261642256,21340450
"24",361.122064993857,361.115554203425,361.128575960372,62505804
"25",363.117757229906,363.111192393862,363.124322243984,21871544
"26",393.20794497938,393.200547452948,393.213493261205,85496656
"27",394.210233613202,394.20280777999,394.215803125811,22449022
"28",401.188982071121,401.181358174154,401.194700136465,227296000
"29",402.191560803137,402.183908311533,402.199213513153,56469780
"30",403.185918196973,403.178237296799,403.19359931664,67984192
"31",404.188424720526,404.180715160703,404.194207035153,20774668
"32",409.201840777969,409.193987343421,409.207731002253,29839910
"33",417.183999474763,417.175915131211,417.190062886646,72215640
"34",419.181199461117,419.173056972873,419.189342186616,18434952
"35",461.269073768024,461.259674697762,461.278473125577,1104378624
"36",462.273916934217,462.264487129558,462.280989477067,364523648
"37",463.275202109571,463.265741653714,463.284662855222,62643928
"38",477.263885686567,477.253993511773,477.271305019497,28115924
"39",651.296010093106,651.280240485447,651.307837674719,35379092
"40",657.154185612562,657.13820276085,657.166173134007,20383338
"41",663.261826541979,663.245620348852,663.273981576633,20357520
"42",665.27663788517,665.260357814734,665.288848330176,37551908
"43",665.28477814449,662.294548025932,666.382526718537,37551908
"44",666.278654435083,666.262337557264,666.294971912312,17291198
"45",687.273097522809,687.256003402019,687.290192281378,35448952
"46",727.341863366378,727.323252741915,727.355821803491,53017176
"47",728.34332713927,728.324678068504,728.361976926319,24983714
"48",729.340931577953,729.322244134472,729.359619739683,19751506
"49",787.420463764403,787.399500308831,787.441428057169,26434544
"50",283.061571203835,283.057052924008,283.064959984702,127901664
"51",284.064985218273,284.06044289072,284.06952765478,19947522
"52",323.12919762462,323.123686797244,323.133330837671,20808418
"53",325.14461480534,325.139052341389,325.14878674698,204196096
"54",326.148064019716,326.142475782694,326.152255291738,44539356
"55",337.108810941097,337.102938651956,337.114683383683,133572128
"56",338.1117987897,338.105900260948,338.11769747281,28092266
"57",339.122925265591,339.117000263026,339.12885042344,276520224
"58",340.126488309952,340.120536987322,340.132439788786,60445504
"59",364.205208823098,364.198614474539,364.211803350759,30406924
"60",365.21279507654,365.206173339718,365.219416993457,92586656
"61",366.216350328637,366.209701278033,366.222999560327,22695514
"62",393.208167704358,393.200770172677,393.215565444802,112015656
"63",394.210300667779,394.202874829299,394.21587018434,31324328
"64",398.209677710703,398.20213858153,398.21533219809,63746008
"65",399.21415005887,399.206582381891,399.22171795104,15915879
"66",401.189151589596,401.18152768722,401.194869658998,35870820
"67",461.269302096183,461.259903019252,461.276351592414,415888960
"68",462.274067434723,462.264637623373,462.283497534616,140258544
"69",463.27543348035,463.26597301778,463.284894232713,24381712
"70",283.061437641143,283.056919364194,283.064826419851,46044588
"71",325.144530209737,325.13896774933,325.148702148719,254808064
"72",326.148021809541,326.142433576079,326.152213078893,56152212
"73",337.10867661771,337.102804332309,337.113080932457,81049520
"74",339.124233542116,339.118308504505,339.130158735011,153451840
"75",340.126285681806,340.120334362967,340.132237156848,35188620
"76",388.140287325702,388.133032349248,388.145728691534,33941012
"77",393.208003129562,393.200605602594,393.215400865293,52922980
"78",398.20954737253,398.202008248161,398.215201856315,26758028
"79",401.188996027932,401.181372130413,401.19471409369,76509416
"80",402.191628858818,402.18397636666,402.197368371269,18094258
"81",403.185879406371,403.178198505642,403.191640225961,24270262
"82",417.183951394054,417.175867049916,417.190014806375,33035728
"83",461.269083957383,461.259684886439,461.278483315616,882729216
