"","mz","mzmax","mzmin","intensity"
"1",233.077467926709,233.07409188515,233.080000006016,44743604
"2",250.177096175966,250.173341881412,250.179911952341,7943312
"3",261.109055239358,261.105052199764,261.112057579465,47716200
"4",262.112729498159,262.108703356082,262.116755733003,6745402
"5",266.171410412643,266.167290397005,266.174500487149,44057448
"6",299.162878403374,299.157969123081,299.166560442897,8154480.5
"7",337.102848149129,337.096975966968,337.108720484731,290038912
"8",338.106285274962,338.100386853815,338.110709192116,61849400
"9",339.108405138227,339.095074868374,339.121736193212,8087437.5
"10",353.077065780767,353.070771302305,353.081786750078,16031343
"11",363.119928284476,363.113363344933,363.126493402059,7401483
"12",365.134051217428,365.127431586264,365.139016058938,160074416
"13",366.137368248625,366.130721315248,366.142353567445,35614220
"14",367.139908479198,367.13323422976,367.144914285715,4770372.5
"15",381.108399324442,381.101340571222,381.113693518057,9929898
"16",389.206465385196,389.199180459209,389.213750515722,36049340
"17",390.210107121826,390.202793999869,390.215592098214,9465262
"18",405.202151069758,405.196347096919,405.2079551673,12553400
"19",408.307572058689,408.299744322728,408.315400019757,13686969
"20",417.201885149359,417.193800256801,417.207948973009,10826513
"21",485.265230957028,485.255088970012,485.275373262005,18823076
"22",486.26821400026,486.258040550478,486.27584429712,6392506
"23",523.357660151492,523.346300850132,523.366179870217,8737543
"24",149.060058890032,149.058332258903,149.061353883066,8291268.5
"25",206.557270340411,206.554453802035,206.559382781999,10369691
"26",233.078894535218,233.075518485616,233.081426620557,38369176
"27",234.082236753383,234.078838879836,234.084785207097,4646318
"28",261.110594014861,261.106590968272,261.114597153507,37791468
"29",262.113278251039,262.109252125206,262.11629790629,5841989.5
"30",266.172935485523,266.168815463142,266.176025565086,17314042
"31",267.054651129607,267.05051061617,267.057756577879,6882860.5
"32",301.070971461779,301.066015173289,301.074688758465,16784806
"33",315.123576174882,315.118268861989,315.127556747543,8532283
"34",332.150701447179,332.14495822464,332.156444818681,23077426
"35",333.15366858251,333.147899325204,333.157995623838,4676915
"36",334.096149335665,334.090355581819,334.101943240223,8332238.5
"37",337.104511997119,337.098639813894,337.110384333783,299845984
"38",338.107983619685,338.102085197586,338.112407537555,60540924
"39",339.111415718718,338.352837905227,339.124746862902,7330916.5
"40",340.123537232552,340.117900542602,340.128000775217,4552477
"41",343.15393052434,343.147899569516,343.158453844799,8343492
"42",348.111815776145,348.105653649814,348.116437478271,11531189
"43",348.6144802878,348.608304807137,348.619112005984,4441460
"44",353.078656544589,353.072362066913,353.08337751331,34483332
"45",354.083026159766,354.07670480039,354.089347688427,6493272
"46",360.180352744309,360.17386740635,360.186838257434,15042857
"47",361.184427758851,361.177915282873,361.189312231428,4184851.75
"48",365.135636954261,365.129017325422,365.142256763117,154139248
"49",366.140563637137,366.133916660967,366.147210794317,34221048
"50",367.14324194021,367.136567647866,367.148247778907,4418325
"51",367.226427539034,367.219750971178,367.233104288975,10747828
"52",381.110045264403,381.10298651574,381.1153394546,20828866
"53",382.114184868807,382.107098199072,382.119500000486,4669824.5
"54",385.127912627248,385.120741956596,385.13508349817,10785041
"55",389.209591656898,389.202306685549,389.215055519637,11020364
"56",408.309141049659,408.301313322564,408.315011992705,7880424.5
"57",463.284111059478,463.274650379309,463.291206759786,8785407
"58",537.340813006892,537.328995503135,537.349676390553,6845625
"59",547.19467576469,547.18253172015,547.203784063408,11126657
"60",575.227158994174,575.21406989357,575.23697611282,20833692
"61",576.22990165401,576.216778316505,576.239744451355,7389364.5
"62",603.257657112512,603.243599723807,603.268200476505,9125745
"63",651.220096381517,651.204329645529,651.235863690121,64159016
"64",652.226160383766,652.210357088012,652.241964253907,23928032
"65",653.227147164328,653.21130748376,653.239027302852,6247795.5
"66",679.252316626477,679.23552097568,679.2649137734,67300472
"67",680.25685102719,680.24001809955,680.269476132956,27697794
"68",681.259690069089,681.242819910874,681.272343098995,7128065
"69",707.283875326343,707.26602934073,707.297260258816,20458430
"70",708.288862843817,708.270978810942,708.302276312998,8324740.5
"71",206.557350622023,206.554534081756,206.559463065029,8984348
"72",233.079019748796,233.075643696927,233.081551835835,40678360
"73",234.08240451538,234.079006639551,234.084952970805,5107056.5
"74",261.109822895174,261.10581986891,261.112825225283,42815652
"75",262.113372709017,262.109346580481,262.116392366297,6081281.5
"76",266.17308893483,266.168968909682,266.176179016468,20588484
"77",267.053806297253,267.049665805109,267.057946885692,5218809.5
"78",299.164436643026,299.159527354831,299.168118688476,4474274
"79",301.071124114271,301.066167822452,301.074841413453,11493710
"80",301.141699046255,301.136741009997,301.145417653805,8994247
"81",332.149519844882,332.143776655727,332.153827334505,15344674
"82",334.096438549555,334.090644791819,334.100783966762,8382441.5
"83",337.104747363749,337.098875176581,337.109151604819,349645312
"84",338.108173416514,338.102274990453,338.112597337354,73047736
"85",339.111643433786,339.099794180174,339.123493308758,8111837
"86",348.112004755314,348.105842624845,348.116626460544,9772366
"87",353.078824746892,353.07253026499,353.083545718783,30271314
"88",354.081758373623,354.075437052323,354.08649947569,6352879
"89",360.180626357902,360.174141015588,360.18549047959,10600896
"90",363.120306026868,363.113741129485,363.125229816742,4816772.5
"91",365.135924356107,365.129304722823,365.140889199206,180555136
"92",366.139191674774,366.132544739392,366.144176995096,40287344
"93",367.143502445026,367.1368281482,367.148508287084,5125559
"94",367.226770639881,367.220094067541,367.231778188629,9457853
"95",381.110212214275,381.103153460872,381.115506408027,17662920
"96",385.128158083756,385.120987408289,385.133536221784,7957061
"97",389.209969713036,389.202684736795,389.217254893815,14919562
"98",405.203869083801,405.198065113321,405.209673178984,7137107
"99",408.309304858564,408.301477126213,408.315175805552,9322471
"100",463.284450252866,463.274989566345,463.29154595794,9783173
"101",537.34109494643,537.329277434738,537.349958336043,8669719
"102",547.194922936108,547.182778883413,547.204031240942,11804374
"103",575.227563724376,575.214474614983,575.240653280542,21183418
"104",576.230185851039,576.217062504722,576.240028654993,8076405.5
"105",603.25794718964,603.243889791496,603.268490560713,10451626
"106",651.220514874376,651.2047481278,651.232340310086,82011752
"107",652.222858640561,652.207055477787,652.238662377715,31758494
"108",653.227558895112,653.211719203907,653.239439041613,7621774.5
"109",679.252671391665,679.23587572959,679.265268547047,82459992
"110",680.257333514801,680.240500575857,680.274167078564,32315400
"111",681.260253065044,681.243382895501,681.272906103447,8083220.5
"112",707.284236875573,707.266390877977,707.297621817035,25688894
"113",708.289206825142,708.271322780258,708.3070915474,10010332
"114",713.445451803675,713.427372111775,713.459012023621,5017877.5
"115",233.078979850612,233.0756037993,233.081511937234,39435384
"116",234.082344642849,234.07894676758,234.084893097854,4751216
"117",261.109773255959,261.105770230356,261.113776373619,42049964
"118",262.113360158413,262.10933403054,262.116379815195,6093040
"119",266.173002866863,266.168882842395,266.176092947992,19008942
"120",267.054776294733,267.050635779198,267.057881744579,4713823
"121",299.164468653078,299.159559365693,299.168150697922,4762363
"122",301.071029181577,301.066072890576,301.074746480147,11874472
"123",332.149445725492,332.143702537283,332.153753214404,18172352
"124",334.096444298126,334.090650541346,334.100789714617,4504608
"125",337.104672993326,337.098800807126,337.10907723367,326896256
"126",338.108086559542,338.102188134454,338.112510479653,66428468
"127",339.110106341469,339.096776062966,339.123437405055,7939959.5
"128",353.078744062371,353.072449581506,353.083465033484,30663504
"129",354.081649147333,354.075327827074,354.087970636874,6275488
"130",360.180544787785,360.174059446539,360.185408908671,12908162
"131",365.135829300807,365.129209668615,365.142449113018,167178704
"132",366.139090534531,366.132443600245,366.145737649826,37427520
"133",367.141708508815,367.13503425859,367.148382941042,4488390.5
"134",367.22663243893,367.219955867692,367.231639986853,10938975
"135",381.110146929063,381.103088176824,381.115441121943,17584118
"136",385.128069253727,385.120898579442,385.133447390868,8276445.5
"137",389.20980928525,389.20252431021,389.217094464828,15056041
"138",390.211640151091,390.204327031356,390.218953476419,4102551
"139",405.203756799273,405.19795282975,405.209560893499,10368932
"140",463.284274458445,463.274813773484,463.291370162349,10175263
"141",485.266917821547,485.25677585403,485.274524505844,8266645
"142",547.194782617808,547.182638567116,547.203890921141,13490221
"143",575.227451480474,575.214362373239,575.240541034482,23666276
"144",576.230059068971,576.216935724817,576.239901871303,8351087
"145",603.257818187455,603.243760791628,603.26836155679,10968456
"146",651.22035017387,651.204583429893,651.23217560763,75798384
"147",652.226506255531,652.21070295177,652.242310133679,28469820
"148",653.227522108382,653.211682419789,653.239402252925,7074984
"149",679.252531581882,679.235735922575,679.265128735187,80389912
"150",680.257169913019,680.24033697685,680.274003474007,32223898
"151",681.260030839743,681.24316067298,681.276901633167,8091923
"152",707.284035392405,707.26618939775,707.29742033166,23994878
"153",708.288861084312,708.270977042376,708.302274560289,9947763
"154",233.078918738258,233.075542687907,233.081450824159,45878156
"155",234.082273675024,234.078875800722,234.084822129303,5996904
"156",261.109739209226,261.105736184763,261.112741537986,44453156
"157",262.113254129513,262.109228002787,262.116273785435,6778808
"158",266.17295376317,266.168833739875,266.176043843419,20504766
"159",301.070983559158,301.066027269568,301.074700856669,13570542
"160",301.14159029955,301.136632265521,301.145308905428,13034187
"161",332.149373252158,332.143630065584,332.153680739844,16438444
"162",334.096330145376,334.090536390245,334.100675560629,5188306.5
"163",337.104602103077,337.098729918549,337.109006342167,353726240
"164",338.108020131043,338.102121707634,338.112444049894,71061808
"165",339.110009787202,339.0951984207,339.123340846983,7964221
"166",353.078668718787,353.072374239714,353.083389688555,34374164
"167",354.081629268443,354.075307949985,354.086370368379,6073676.5
"168",360.18048784192,360.174002502522,360.185351961422,10742527
"169",363.120044420714,363.113479526282,363.126609493182,8403749
"170",365.135762881731,365.129143251423,365.140727722598,185439568
"171",366.139047801733,366.132400869339,366.144033119814,42236632
"172",367.141813432766,367.135139184441,367.146819238448,5330571
"173",367.226518023313,367.219841453975,367.23152556981,11235513
"174",381.110044925813,381.102986175583,381.115339117185,19350056
"175",385.127899904989,385.120729232745,385.133278040598,8468813
"176",389.209793897384,389.202508924419,389.217079074888,16797374
"177",390.211657171117,390.204344053464,390.217142144276,5246040
"178",395.221545186015,395.214090783321,395.227136126442,8919298
"179",405.203721980111,405.19791801224,405.209526072684,15068803
"180",408.309233877613,408.301406148781,408.315104821962,8161938.5
"181",463.284265757145,463.274805074877,463.291361459028,13020125
"182",464.288449412864,464.278957945532,464.295568204371,4046443.25
"183",481.366225658323,481.356205751991,481.373740793389,4242437.5
"184",485.266872890431,485.256730925801,485.274479572562,11875685
"185",541.373373727639,541.361422971581,541.38233705438,4286843
"186",547.194673223051,547.182529175816,547.20378152379,13721098
"187",548.198124304359,548.185946842928,548.207257666719,4224911
"188",575.227326616854,575.214237513345,575.240416167135,23143842
"189",576.229953589941,576.216830249524,576.23979638947,8245482.5
"190",603.257700387881,603.243642996056,603.268243754213,10358656
"191",625.391996119746,625.377157999429,625.403125056545,6647112.5
"192",651.220192990886,651.204426251398,651.232018421279,81221680
"193",652.222516147694,652.206712992025,652.238319877742,29920016
"194",653.227360301752,653.211520617669,653.239240442912,6736068
"195",679.252336674801,679.235541020276,679.264933824519,84733800
"196",680.256971830568,680.240138899191,680.273805386763,32398368
"197",681.259509356838,681.242639194879,681.272162389552,7688038.5
"198",707.283954618009,707.266108628436,707.297339553454,24982862
"199",708.288826046197,708.270942009353,708.302239518355,10441946
"200",713.445335646277,713.427255962505,713.458895860126,4479105
"201",233.078873660327,233.075497610486,233.081405745846,38301844
"202",234.082214924845,234.078817051056,234.084763378739,4467917
"203",261.10965626819,261.10565324433,261.113659384106,42258340
"204",262.113241215721,262.109215089602,262.116260871187,6680932
"205",266.172912393331,266.168792370657,266.176002473114,18222680
"206",301.070928861058,301.065972572215,301.074646158008,15640916
"207",301.141512715098,301.136554681816,301.145231320415,10043883
"208",332.149315620687,332.14357243498,332.153623107724,13728764
"209",337.104538013821,337.098665830179,337.108942252247,289671360
"210",338.10797468721,338.102076264692,338.112398605394,56883256
"211",339.111439830849,339.098109470816,339.124770975994,6349907.5
"212",353.078631472758,353.072336994634,353.083352441814,29609808
"213",354.081555253363,354.075233935858,354.087876740152,4811833
"214",360.180425255959,360.173939917539,360.185289374727,9233869
"215",365.135696310033,365.129076680724,365.14231611936,156104368
"216",366.138962162169,366.132315230778,366.145609274568,32737552
"217",367.226445785213,367.219769216882,367.231453330954,8836643
"218",381.110018117977,381.102959368812,381.115312308551,17299780
"219",381.297121551105,381.290057602463,381.302419641412,4251446.5
"220",385.127802148293,385.120631477131,385.134973019726,10453690
"221",389.209681803988,389.202396832122,389.216966980393,16856912
"222",390.211509448949,390.2041963324,390.218822771092,4365305
"223",405.203687964266,405.197883997271,405.209492055964,14585700
"224",463.284134307459,463.274673626617,463.291230008272,9029520
"225",481.365985013241,481.355965108421,481.373500147174,5631546.5
"226",485.26674253819,485.25660057509,485.274349219174,9635202
"227",523.361592428622,523.350233068449,523.370112191458,8561786
"228",541.373376434595,541.36142568034,541.385327584582,7283083
"229",547.194670858853,547.18252681345,547.203779158218,10517342
"230",575.227214876724,575.21412577519,575.240304425031,19182910
"231",576.229889109688,576.21676577125,576.239731907733,5822562
"232",603.257645010702,603.243587620997,603.268188375444,8796986
"233",651.220124934508,651.204358197399,651.231950363118,62238072
"234",652.222375957486,652.2065728042,652.238179685151,21926268
"235",653.227127595079,653.211287913385,653.239007734447,5351641
"236",679.252288167661,679.23549251567,679.264885315479,64581312
"237",680.256951364903,680.240118436065,680.269576471566,26874184
"238",681.25937909287,681.242508933455,681.272032123676,6489087.5
"239",707.283880556197,707.266034569315,707.297265489622,19681392
"240",708.288809264293,708.270925230147,708.302222734427,8651625
"241",713.445127724903,713.427048043858,713.458687936708,4277916.5
"242",233.078895360603,233.075519310832,233.081427446068,37285436
"243",234.082189659699,234.078791785982,234.08473811354,3875974
"244",261.109691177526,261.105688153751,261.113694293358,38647792
"245",262.113239706029,262.109213579996,262.116259361432,5541509
"246",266.172952328577,266.168832305991,266.176042408295,16155416
"247",299.164304600806,299.159395315662,299.167986643967,5250800.5
"248",301.07094339506,301.065987106322,301.074660691932,17570818
"249",301.141580470776,301.136622437599,301.145299076015,5769377.5
"250",332.149367735121,332.143624549536,332.153675222067,15234188
"251",337.104589211748,337.09871702823,337.108993450081,283322560
"252",338.10800932573,338.102110903336,338.11243324382,55825512
"253",339.109951464874,338.352854803399,339.123282522368,6843090.5
"254",353.078663730621,353.072369252631,353.083384699578,30431068
"255",354.081686250033,354.075364932662,354.086427349153,5825712.5
"256",360.180484487749,360.173999149465,360.185348606413,10941443
"257",363.120016036294,363.113451142991,363.126581107633,8014883.5
"258",365.13573754975,365.129117920581,365.140702389763,150820832
"259",366.138992178125,366.132345246875,366.145639290384,32810462
"260",367.226527586996,367.219851018807,367.231535132632,13055376
"261",369.133043759902,369.126315120166,369.139772583621,4682749
"262",381.1100569418,381.102998192784,381.115351132262,16697075
"263",385.127959986127,385.120789315117,385.135130857408,11849377
"264",389.209765943824,389.202480972112,389.217051120075,20810130
"265",390.211525820835,390.204212704441,390.217010793052,5885040.5
"266",395.221549461957,395.214095060545,395.227140401422,7953950
"267",405.203737513075,405.197933546203,405.20954160465,16706946
"268",406.207637791105,406.201812239114,406.213463468417,4662059.5
"269",417.203516906533,417.195432023989,417.209580722672,7262476
"270",463.284145769352,463.274685088711,463.293606739796,13356399
"271",464.288688880243,464.279197414543,464.295807670526,4328176.5
"272",479.35038635569,479.340429306182,479.357854346423,9722324
"273",481.366275797373,481.356255892764,481.373790931146,5249635
"274",485.266769220787,485.256627257901,485.274375901609,12638600
"275",486.269801999465,486.259628574054,486.277432278045,4575175
"276",523.361832411013,523.35047305108,523.370352173668,7255897
"277",541.373335369538,541.361384615535,541.385286519272,6457563.5
"278",547.194712962326,547.182568917179,547.203821261498,9723131
"279",575.227308147302,575.214219046044,575.240397695332,19326920
"280",576.230027240414,576.216903902254,576.239870038251,6595614.5
"281",603.257662314668,603.243604925261,603.268205679187,8589516
"282",651.220191506907,651.204424770132,651.232016935267,57389220
"283",652.222526674885,652.206723521934,652.238330402216,21690902
"284",653.227136198663,653.211296517304,653.23901633778,5334135
"285",679.252353762203,679.235558110567,679.264950909755,64053640
"286",680.256963446436,680.240130517954,680.269588552832,23980870
"287",681.259750233399,681.242880074342,681.272403263938,6068928
"288",707.283882091136,707.266036104632,707.297267024278,21002216
"289",708.289067317958,708.27118328419,708.306952029099,8292648
"290",233.078949591635,233.07557354159,233.081481677306,39225936
"291",234.082267767028,234.078869893035,234.084816221076,5096973.5
"292",261.109726477203,261.105723453103,261.11372959336,43137532
"293",262.113305179234,262.109279052873,262.116324834882,6198249
"294",266.172976947891,266.168856924969,266.17606702786,17409832
"295",301.071020323915,301.066064034774,301.074737621089,12686623
"296",301.141601380601,301.136643347021,301.145319986142,6723357
"297",332.149371442787,332.143628256734,332.155114777801,14320276
"298",337.10461620942,337.098744025424,337.110488546855,272876224
"299",338.108042172197,338.102143749323,338.112466090647,54738464
"300",339.109979048062,339.096648774563,339.12182883898,6245755
"301",353.078713086638,353.072418608136,353.083434055979,28694744
"302",354.081648797607,354.075327479722,354.087970284776,5648652.5
"303",360.180486490318,360.174001151507,360.186972004294,9256848
"304",363.121622071402,363.115057133057,363.128187187785,8078804
"305",365.135760194298,365.129140564591,365.142380004024,151183856
"306",366.139040419216,366.132393487426,366.145687532016,34076268
"307",367.143240991103,367.136566697884,367.148246830458,4219910.5
"308",367.226499444124,367.219822875392,367.231506990167,11331671
"309",369.135327538726,369.128598852448,369.142056408988,4844098.5
"310",381.110094997859,381.103036248269,381.115389188751,17709644
"311",381.297193548046,381.290129598979,381.302491638672,5429974
"312",381.309408079667,381.27235842674,382.130235913316,5429974
"313",385.127877167834,385.120706496241,385.135048039698,8712229
"314",389.209813973906,389.202529001601,389.21709915075,24078532
"315",390.211697634464,390.204384517475,390.219010957047,5837428
"316",405.203799755492,405.197995788148,405.20960384754,16193497
"317",463.284188277599,463.274727596189,463.291283978839,9825717
"318",479.350454827931,479.340497777613,479.357922819271,9569069
"319",481.36620957546,481.356189670036,481.373724709845,6085728.5
"320",485.266930717094,485.256788753384,485.274537398536,10314399
"321",523.361732564656,523.350373203798,523.370252328004,10116394
"322",541.373380554678,541.361429799704,541.385331705384,8540424
"323",547.194667661764,547.182523615631,547.203775961678,9040722
"324",575.227215331056,575.214126228734,575.237032450991,17307218
"325",576.230007461721,576.216884122493,576.239850260358,6138981.5
"326",603.257697889728,603.243640499178,603.268241255105,9206800
"327",651.220199595502,651.204432857444,651.232025024824,54847436
"328",652.226305542783,652.210502244954,652.242109414998,21652202
"329",653.227144461337,653.211304778689,653.23902460142,5137758
"330",679.252389273897,679.235593620895,679.264986422474,58491864
"331",680.256984675174,680.240151745323,680.269609782597,23855588
"332",681.259788332546,681.242918172117,681.272441364114,6463172.5
"333",707.283862986984,707.266016999029,707.297247921215,18833934
"334",708.288645594045,708.270761558823,708.302059064987,7690031
"335",233.078746061962,233.075370014497,233.081278145698,38083580
"336",234.082107951109,234.078710079712,234.084656403209,4704748.5
"337",261.110409399067,261.106406355012,261.11441253518,40447872
"338",262.113088934625,262.109062811341,262.116108587966,5971008
"339",266.172776014568,266.168655994795,266.175866092176,16843308
"340",301.070770447218,301.065814161864,301.074487741551,15803145
"341",332.150442992033,332.144699773129,332.156186359899,10441110
"342",337.105697919198,337.099825701331,337.111570290506,231527328
"343",338.107712825655,338.101814407289,338.113611398375,47129844
"344",339.111201078794,339.035672816817,339.124532214541,6150119.5
"345",353.078394027221,353.072099553529,353.084688669239,26484828
"346",354.082768292325,354.07644693695,354.087509419949,5083337
"347",363.121265507723,363.114700574395,363.127830619089,8746035
"348",365.136994654569,365.130374984917,365.143614504241,133273008
"349",366.140280146257,366.133633174295,366.14692729923,28291926
"350",367.22779896319,367.221122354039,367.232806539548,9767305
"351",381.109743809393,381.102685065198,381.115037996239,16699545
"352",381.298595442464,381.291531449719,381.303893565849,4519913.5
"353",385.129333921682,385.122163205501,385.136504838134,12217126
"354",389.20940764175,389.202122675013,389.214871501031,24053470
"355",390.212974653257,390.205661490459,390.218459660277,6047404
"356",405.203417971727,405.197614008818,405.209222059339,14982668
"357",463.286028517531,463.276567770901,463.295489553966,8835255
"358",479.350014750675,479.340057707967,479.357482736308,9730243
"359",481.365925368408,481.355905470642,481.373440497049,6829321
"360",485.266430972291,485.256289016331,485.274037647919,10649609
"361",523.361351597413,523.349992245237,523.36987135425,10776141
"362",541.372821096705,541.360870350864,541.381784415784,9758432
"363",547.194154461649,547.182010424796,547.203262754602,7310949.5
"364",575.226671510598,575.213582418279,575.236488623031,14432362
"365",576.229631451575,576.216508122376,576.239474242689,5382444
"366",651.219516276635,651.203749550627,651.235283575259,43792460
"367",652.225612801493,652.209809515741,652.237465642746,18220468
"368",679.251781872776,679.23498623261,679.264379011725,50337004
"369",680.256336642623,680.239503725637,680.268961740398,19631130
"370",681.258863944417,681.24199379688,681.271516966314,4782786.5
"371",707.283220096999,707.265374122682,707.296605021001,16579445
"372",708.288065578292,708.270181556737,708.301479038983,7004049
"373",233.078839832481,233.075463783366,233.081371917455,31868458
"374",261.110544628554,261.106541582542,261.114547766623,33937460
"375",262.113169845583,262.109143720331,262.1161895004,5734823.5
"376",266.172845209544,266.168725187757,266.175935288662,13987605
"377",301.070886857765,301.065930569989,301.074604153915,18553700
"378",301.141460124654,301.13650209244,301.145178729171,4787316.5
"379",332.149123596533,332.143380412062,332.154866929966,10941550
"380",337.104423197877,337.098551015499,337.110295533694,212280768
"381",338.107884109087,338.101985687838,338.112308026319,44196560
"382",339.111366836551,338.351312910045,339.124697978809,5499945
"383",353.078545011916,353.072250535147,353.083265979956,28350040
"384",354.08292590353,354.076604545066,354.087667033472,5736403.5
"385",360.181789322678,360.175303941863,360.188274878661,8378228
"386",365.137154113904,365.130534441015,365.143773966811,121148512
"387",366.140455011584,366.133808036373,366.147102167806,26413804
"388",367.226344415262,367.219667848369,367.231351959926,10170825
"389",369.134312477216,369.12758379279,369.139359111274,6392397.5
"390",381.109885195263,381.102826447617,381.115179384697,19653092
"391",385.129434101955,385.12226338227,385.136605021913,13883738
"392",389.209576870347,389.202291900049,389.215040732299,20306220
"393",390.213246447444,390.205933281071,390.218731457145,5105656
"394",405.20359052695,405.197786561204,405.209394617399,14262960
"395",463.286223254942,463.276762503687,463.295684296001,9942752
"396",479.350158808943,479.340201761368,479.357626798227,11107678
"397",481.365918011301,481.355898108638,481.373433143616,6491140.5
"398",485.266610544193,485.256468583276,485.274217223539,10042568
"399",523.361462014043,523.350102656314,523.369981775044,8148172.5
"400",537.340517596099,537.328700094046,537.349380978483,6184417.5
"401",541.373151736914,541.361200985231,541.382115060374,8236469
"402",547.194432989034,547.182288946244,547.203541286438,6414706
"403",575.227012408076,575.213923309359,575.236829525307,13249308
"404",576.229736944638,576.216613609025,576.239579740564,4185698.25
"405",651.219835671824,651.204068938108,651.235602978155,36854932
"406",652.225932372986,652.21012907951,652.241736240849,13920592
"407",679.252117539963,679.235321891587,679.26471468507,43317728
"408",680.256665391506,680.239832466292,680.269290495452,18806854
"409",681.259543923572,681.242673767789,681.272196951655,4448336.5
"410",707.283605517741,707.265759534701,707.296990448285,14185374
"411",708.288298427078,708.270414396781,708.301711894325,5951181.5
"412",233.078830457529,233.075454408083,233.081362542751,26852874
"413",261.110489712336,261.106486665932,261.113492057552,29218708
"414",262.113193748019,262.109167622373,262.116213403132,4341811
"415",266.172878544076,266.168758521885,266.175968623497,11222463
"416",280.126936387215,280.122488169401,280.130272620108,13984798
"417",299.164364689256,299.159455404584,299.168046732063,7715077
"418",301.070882454726,301.065926166464,301.07459975124,24513200
"419",301.141461096422,301.136503063722,301.145179701302,4479068.5
"420",302.074582115633,302.069601022549,302.078318016301,4367411.5
"421",332.15054858462,332.144805362346,332.156291955856,12854518
"422",337.105817712625,337.099945491312,337.111690087378,199781600
"423",338.107843346332,338.101944924505,338.113741922513,39917172
"424",339.123249912817,339.109918856584,339.136581754513,7086535
"425",353.078516000502,353.072221523116,353.084810646213,35595632
"426",354.082915107857,354.076593748774,354.087656238263,7503640
"427",355.118305375414,355.111956257734,355.123067325418,7602164
"428",360.181806583013,360.175321201562,360.18829213963,8717974
"429",363.121318280571,363.114753343391,363.126242100293,8516511
"430",365.13713048534,365.130510811803,365.143750338896,114646672
"431",366.140429160011,366.133782184149,366.147076316884,25282804
"432",367.227923991997,367.221247378929,367.234600787153,17994626
"433",368.22991297923,368.223209024673,368.236617116869,4935660
"434",369.132916812386,369.126188173296,369.139645635457,10351158
"435",381.109881598743,381.102822850406,381.115175788696,24076984
"436",382.114192751194,382.107106081787,382.119507882627,5142240
"437",383.222169872228,383.215052358959,383.227508137309,5313073.5
"438",385.129514093609,385.122343373222,385.136685014269,18419248
"439",386.132015745188,386.124817014541,386.137414925287,4176041.25
"440",389.209554626628,389.202269655616,389.215018489115,25015652
"441",390.213243498637,390.205930331548,390.218728508875,7042833
"442",395.223090223053,395.215635769632,395.230544887381,11971215
"443",405.203630209309,405.178480583679,405.226760249265,21027212
"444",406.207450609642,406.201625058212,406.213276286394,6942785
"445",417.203367529527,417.19528264776,417.211452646314,9766320
"446",421.179050525444,420.296798300083,421.201603751693,8780028
"447",463.286131028786,463.276670276605,463.295592070772,19466750
"448",464.288495466183,464.279004001396,464.295614255782,6888489
"449",479.350259765874,479.340302717324,479.357727755889,11384139
"450",481.365857059199,481.355837155554,481.373372192249,5649038.5
"451",485.266664499618,485.256522537708,485.274271179709,15664208
"452",486.26975903592,486.259585611488,486.277389313767,5606571
"453",523.361626077294,523.350266718453,523.370145839129,6987150
"454",575.227059732458,575.21397063246,575.236876850651,10912127
"455",576.230106530432,576.216983193534,576.239949327322,3999373.5
"456",651.219925489018,651.204158753759,651.235692796894,31075680
"457",652.225944193161,652.210140898137,652.237797041368,13663533
"458",679.252232785469,679.235437135448,679.264829931809,37462100
"459",680.256752344258,680.239919417395,680.26937744944,14218250
"460",707.283678008771,707.265832023983,707.297062940626,10352588
"461",708.288695244289,708.270811212241,708.30210871285,4710098.5
"462",233.078754552678,233.07537850428,233.081286637114,24769720
"463",261.110435044385,261.106431999224,261.114438181604,25057804
"464",266.172803807464,266.168683786552,266.175893885925,10208603
"465",280.12685257295,280.122404356517,280.130188804808,13548922
"466",299.164243530241,299.159334247094,299.167925571906,9078296
"467",301.070783546628,301.065827259905,301.074500841988,21432438
